id,site_id,project_company_id,size_kwdc,ato_date,in_service_date,host_type,revenue_type,interconnection_type,registry_facility_name,cref_short_name,subscriber_orginization,system_yield_as_built,system_yield_finance,annual_degradation_engr,annual_degradation_finance,created_on,updated_on
7tyzNxyX,1,59,29.88,2019-12-12,2019-12-20,C&I,NEM PPA,NEM,NON280849,,,1216.5,1259.2,0.005,0.0025,2021-06-03 03:59:23.473649,
ShsBqLxA,1,59,131.0399932861328,2019-12-12,2020-01-10,C&I,NEM PPA,NEM,NON293883,,,1228.5,1234.9,0.005,0.0025,2021-06-03 03:59:23.473649,
avhVpeai,1,59,30.600000381469727,2019-12-12,,C&I,NEM PPA,NEM,,,,1222.5,1234.9,0.005,0.005,2021-06-03 03:59:23.473649,
qhwmQ9ts,1,60,171.5,2020-09-23,,C&I,,NEM,NON311191,,,1250.9,1250.9,0.005,,2021-06-03 03:59:23.473649,
ej6NJTE9,1,85,20.4,2021-05-12,,C&I,,,,,,1233.9,1233.9,0.005,0.005,2021-06-03 03:59:23.473649,
hfdtVKgS,1,61,214.4,2020-09-04,,C&I,,NEM,NON313098,,,1250.6,1250.6,0.005,0.0025,2021-06-03 03:59:23.473649,
t4Riw6rb,1,62,77.4,2021-04-15,,C&I,,,,,,1205.9,1205.9,0.005,0.005,2021-06-03 03:59:23.473649,
dUbd23wQ,1,63,81.9,2020-05-11,,C&I,,NEM,NON299210,,,1205,1205,0.005,,2021-06-03 03:59:23.473649,
gXwfgdGx,1,64,31.17,2017-07-04,2017-10-04,C&I,,NEM,NON203444,,,1258,1258,0.005,,2021-06-03 03:59:23.473649,
9Gi25ktA,1,85,93.6,2021-05-13,,C&I,,,,,,1008.2,1008.2,0.005,,2021-06-03 03:59:23.473649,
ZPBWCX32,1,85,65.9,2021-05-14,,C&I,,,,,,975.2,975.2,0.005,,2021-06-03 03:59:23.473649,
bx5azmQa,1,85,60.5,2021-05-14,,C&I,,,,,,984,984,0.005,,2021-06-03 03:59:23.473649,
Daw8NqcU,1,85,72.5,2021-05-21,,C&I,,,,,,1261.1,1261.1,0.005,,2021-06-03 03:59:23.473649,
DyoPTVRm,1,85,93.6,2021-05-14,,C&I,,,,,,1001.4,1001.4,0.005,,2021-06-03 03:59:23.473649,
EW9WZdwU,1,85,66.3,2021-05-14,,C&I,,,,,,997.4,997.4,0.005,,2021-06-03 03:59:23.473649,
oPfaPFDQ,1,85,57.7,2021-05-14,,C&I,,,,,,1082.4,1082.4,0.005,,2021-06-03 03:59:23.473649,
rYn7AZy8,1,85,73.3,2021-05-17,,C&I,,,,,,998.5,998.5,0.005,,2021-06-03 03:59:23.473649,
ExnspRUM,1,85,62.4,2021-05-17,,C&I,,,,,,983.5,983.5,0.005,,2021-06-03 03:59:23.473649,
kyVfxkQ8,1,85,93.6,2021-05-14,,C&I,,,,,,1281.4,1281.4,0.005,,2021-06-03 03:59:23.473649,
SP3pWiND,1,85,68.3,2021-05-14,,C&I,,,,,,1292,1292,0.005,,2021-06-03 03:59:23.473649,
SCCBZfJq,1,85,70.2,2021-05-14,,C&I,,,,,,1283,1283,0.005,,2021-06-03 03:59:23.473649,
oDj3oZRh,1,85,67.5,2021-05-19,,C&I,,,,,,1266.1,1266.1,0.005,,2021-06-03 03:59:23.473649,
6bjLVgHG,1,85,92.4,2021-05-14,,C&I,,,,,,1200.7,1200.7,0.005,,2021-06-03 03:59:23.473649,
H73VXdsL,1,85,85.8,2021-05-14,,C&I,,,,,,1233.3,1233.3,0.005,,2021-06-03 03:59:23.473649,
Rh4iebBU,1,85,74.1,2021-05-13,,C&I,,,,,,1320,1320,0.005,,2021-06-03 03:59:23.473649,
Vb2mz2mX,1,85,61.6,2021-05-14,,C&I,,,,,,1317.2,1317.2,0.005,,2021-06-03 03:59:23.473649,
cqq2YshZ,1,85,71.8,2021-05-14,,C&I,,,,,,1306.2,1306.2,0.005,,2021-06-03 03:59:23.473649,
j7Mnn9Es,1,85,90.1,2021-05-14,,C&I,,,,,,1233.7,1233.7,0.005,,2021-06-03 03:59:23.473649,
txDbMJEg,1,85,93.6,2021-05-14,,C&I,,,,,,1225.2,1225.2,0.005,,2021-06-03 03:59:23.473649,
GgQLJaAa,1,85,69.4,2021-05-14,,C&I,,,,,,1270.5,1270.5,0.005,,2021-06-03 03:59:23.473649,
42gm9ZRb,1,85,72.2,2021-05-14,,C&I,,,,,,1215.9,1215.9,0.005,,2021-06-03 03:59:23.473649,
7SyafWwB,1,85,63.2,2021-05-17,,C&I,,,,,,1283.1,1283.1,0.005,,2021-06-03 03:59:23.473649,
rEvM3drB,1,85,80,2021-05-13,,C&I,,,,,,1254.3,1254.3,0.005,,2021-06-03 03:59:23.473649,
9p6Q6tTu,1,65,37.06,2020-02-06,2020-03-06,C&I,CREF,NEM,NON293678,,,1251,1230,0.005,0.0025,2021-06-03 03:59:23.473649,
JPShQPdr,1,65,146.3,2020-06-04,,C&I,CREF,CREF,NON299788,,,1229,1230,0.005,0.0025,2021-06-03 03:59:23.473649,
ZB2MBs7P,1,85,9.75,,,Residential,,,NON321180,,,,,,,2021-06-03 03:59:23.473649,
h9SbzmPf,1,85,2.24,2020-02-21,,Residential,,,NON303930,,,1250,1250,,,2021-06-03 03:59:23.473649,
sVh5DNMB,1,85,4.88,2020-11-25,,Residential,,,,,,1250,1250,,,2021-06-03 03:59:23.473649,
qtpTd2Kj,1,85,4.48,2020-02-21,,Residential,,,NON305120,,,1250,1250,,,2021-06-03 03:59:23.473649,
T3anAYfd,1,85,3.05,2020-10-07,,Residential,,,AWAITING,,,1250,1250,,,2021-06-03 03:59:23.473649,
PCaNQ5ZN,1,85,5.88,2020-06-25,,Residential,,,NON306243,,,1250,1250,,,2021-06-03 03:59:23.473649,
WxGjFyAk,1,85,4.76,2020-02-25,,Residential,,,NON303931,,,1250,1250,,,2021-06-03 03:59:23.473649,
oRQEER2L,1,85,3.08,2020-03-10,,Residential,,,NON303184,,,1250,1250,,,2021-06-03 03:59:23.473649,
cCkimh32,1,85,2.44,2020-11-25,,Residential,,,AWAITING,,,1250,1250,,,2021-06-03 03:59:23.473649,
sNaNjxqz,1,85,5.04,2020-01-31,,Residential,,,NON300605,,,1250,1250,,,2021-06-03 03:59:23.473649,
eefY9GfF,1,85,3.54,2020-06-03,,Residential,,,NON317094,,,1250,1250,,,2021-06-03 03:59:23.473649,
RKxQmwn2,1,85,3.9,2020-11-12,,Residential,,,,,,1250,1250,,,2021-06-03 03:59:23.473649,
Prkk6dhi,1,85,6.1,,,Residential,,,,,,1250,1250,,,2021-06-03 03:59:23.473649,
NTYWaZx3,1,85,4.27,,,Residential,,,AWAITING,,,1250,1250,,,2021-06-03 03:59:23.473649,
faLYpiGq,1,85,4.48,2020-09-24,,Residential,,,NON313511,,,1250,1250,,,2021-06-03 03:59:23.473649,
k3eAGfmu,1,85,2.52,2020-10-15,,Residential,,,NON313507,,,1250,1250,,,2021-06-03 03:59:23.473649,
kLaoohaa,1,85,2.24,2020-09-22,,Residential,,,NON313502,,,1250,1250,,,2021-06-03 03:59:23.473649,
L7tHxh26,1,85,5.88,2020-06-16,,Residential,,,NON306248,,,1250,1250,,,2021-06-03 03:59:23.473649,
ZSFshPDu,1,85,3.08,2020-02-21,,Residential,,,NON302057,,,1250,1250,,,2021-06-03 03:59:23.473649,
GKx6YTc7,1,85,3.92,2020-02-21,,Residential,,,NON304480,,,1250,1250,,,2021-06-03 03:59:23.473649,
Razett2S,1,85,3.92,2020-03-16,,Residential,,,NON304556,,,1250,1250,,,2021-06-03 03:59:23.473649,
tYFwLbf5,1,85,5.6,2020-02-21,,Residential,,,NON304557,,,1250,1250,,,2021-06-03 03:59:23.473649,
dKTSH4Zh,1,85,4.2,2020-06-17,,Residential,,,NON306918,,,1250,1250,,,2021-06-03 03:59:23.473649,
